Source,NEW FORMAT,Linear A
ZA007a,U-JU-SA,uks
ZA007a,A-RA-TU,art
ZA007a,A-RE-TU,art
ZA007b,A-MA,am
ZA008,KI-RA,kr
ZA008,A-TA-RE,atr
ZA008,MA-KA-I-SE,mkis
ZA008,DA-I-PI-TA,dipt905
ZA008,KA-I-RO,kir999
ZA009,NU-TI,nt
ZA010a,TA-NA-TE,tnt
ZA010a,A-KU-MI-NA,akmn
ZA010a,A-TA-NA-TE,atnt
ZA010a,A-MI-DA-U,amdu
ZA010a,DA-I-PI-TA,dipt
ZA010a,DU-RE-ZA-SE,drzs
ZA010b,MA-ZA,mz
ZA010b,MA-KI-DE-TE,mkdt
ZA010b,SA-MA,sm
ZA010b,A-DE,ad
ZA010b,A-MI-TA,amt
ZA010b,PA-JA-RE,pjr
ZA011a,KU-PA,kp
ZA011b,E-TO-RI-I,etri
ZA011b,I-DE,id
ZA014,ME-KI-DI,mkd
ZA014,QA-TI-JU,qtj
ZA014,KU-PI,kp
ZA014,TU-MI-TA-ZA-SE,tmtzs
ZA014,PA-NU-QE,pnq
ZA014,JA-WI,jw
ZA015a,QE-SI-ZU-E,qsze
ZA015a,I-E-NI-SA,iens
ZA015a,MI-ZA-SE,mzs
ZA015a,SA-KI-DA-E,skde
ZA015b,KA-DI,kd
ZA015b,KU-RO,kr
ZA020,SI-TE-TU,stt
ZA020,SI-TU,st
ZA020,RU-MA-TA-SE,rmts
ZA020,KU-RA,kr
ZA021a,TA-KE,tk
ZA021a,TA-MA-PI,tmp
ZA026a,DI-DI,dd
ZA026a,JA-KI,jk
AP ZA 2,NA-SI,ns
AP ZA 2,PI-MI-NA-TE,pmnt
IO ZA 1,A-JE-SA,ajs
IO ZA 1,A-YE-SA,ays
IO ZA 2,JA-DI-KI-TU ,jdkt
IO ZA 2,YA-DI-KI-TU  ,ydkt
IO ZA 2,I-PI-NA-MA,ipnm
IO ZA 2,I-PI-NA-MA,srt
IO ZA 2,TA-NA-RA-TE-U-TI-NU ,tnrtutn
IO ZA 2,I-DA,id
IO ZA 5,I-JA-RE-DI-JA ,ijrdj
IO ZA 5,I-YA-RE-DI-YA ,iyrdy
IO ZA 5,I-JA-PA,ijp
IO ZA 5,I-YA-PA,iyp
IO ZA 6,I-NA-TA-I-ZU-DI-SI-KA ,intizdsk
IO ZA 6,JA-SA-SA-RA-ME,jssrm 
IO ZA 6,YA-SA-SA-RA-ME,yssrm 
IO ZA 9,YA-SA-SA,yss
IO ZA 9,U-NA-KA,unk
IO ZA 11,U-TI-NU,utn
IO ZA 11,I-NA-I-DA,inid
IO ZA 12,JA-SA-SA-RA-ME ,jssrm
IO ZA 12,YA-SA-SA-RA-ME,yssrm
IO ZA 12,I-TI,it
IO ZA 14,RU-TE ,rt
IO ZA 14,I-DI,id
IO ZA 15,I-PI-NA-MA ,ipnm
IO ZA 15,SI-RU,sr
IO ZA 16,JA-SA-SA-RA-ME ,jssrm
IO ZA 16,YA-SA-SA-RA-ME,yssrm
IO ZA 16,U-NA-RU-KA,unrk
KN ZA 10,TA-NU-MU-TI ,tnmt
